Team,Player,Position,KTC_Value
Ghost Writer,Ja'Marr Chase,WR,9999
Ghost Writer,Justin Jefferson,WR,9974
Ghost Writer,Malik Nabers,WR,9603
Ghost Writer,Drake London,WR,7361
Ghost Writer,Joe Burrow,QB,6462
Ghost Writer,Breece Hall,RB,6390
Ghost Writer,Drake Maye,QB,5436
Ghost Writer,D.J. Moore,WR,5304
Ghost Writer,Brian Robinson,RB,4181
Ghost Writer,Isaiah Likely,TE,3951
Ghost Writer,Tyrone Tracy,RB,3934
Ghost Writer,Tyjae Spears,RB,3623
Ghost Writer,Jake Ferguson,TE,3401
Ghost Writer,Marvin Mims,WR,3353
Ghost Writer,Rashid Shaheed,WR,3273
Ghost Writer,Jonathon Brooks,RB,3218
Ghost Writer,Jalen Coker,WR,3020
Ghost Writer,Rico Dowdle,RB,2470
Cee Dee Snuts,Bijan Robinson,RB,9231
Cee Dee Snuts,Puka Nacua,WR,7885
Cee Dee Snuts,Nico Collins,WR,7240
Cee Dee Snuts,Ladd McConkey,WR,7133
Cee Dee Snuts,Rome Odunze,WR,5964
Cee Dee Snuts,Caleb Williams,QB,5383
Cee Dee Snuts,Chris Olave,WR,5380
Cee Dee Snuts,Jaylen Waddle,WR,5337
Cee Dee Snuts,Trevor Lawrence,QB,4468
Cee Dee Snuts,Courtland Sutton,WR,4319
Cee Dee Snuts,Michael Pittman,WR,4108
Cee Dee Snuts,Trey Benson,RB,4028
Cee Dee Snuts,Kyle Pitts,TE,3974
Cee Dee Snuts,Justin Fields,QB,3641
Cee Dee Snuts,Tua Tagovailoa,QB,3453
Cee Dee Snuts,Isaac Guerendo,RB,3295
Cee Dee Snuts,Quentin Johnston,WR,2899
Cee Dee Snuts,Tyler Allgeier,RB,2882
Cee Dee Snuts,Audric Estime,RB,2599
Cee Dee Snuts,Cole Kmet,TE,2594
Cee Dee Snuts,Roschon Johnson,RB,2592
Cee Dee Snuts,J.K. Dobbins,RB,2539
Cee Dee Snuts,Kendre Miller,RB,2398
Cee Dee Snuts,Noah Gray,TE,2227
Cee Dee Snuts,Zach Ertz,TE,2024
Lombardiﾒs Legacy,Lamar Jackson,QB,7369
Lombardiﾒs Legacy,Trey McBride,TE,7231
Lombardiﾒs Legacy,Jaxon Smith-Njigba,WR,7015
Lombardiﾒs Legacy,Jonathan Taylor,RB,6347
Lombardiﾒs Legacy,Kyren Williams,RB,6209
Lombardiﾒs Legacy,Kenneth Walker III,RB,5796
Lombardiﾒs Legacy,Jordan Addison,WR,5648
Lombardiﾒs Legacy,C.J. Stroud,QB,5515
Lombardiﾒs Legacy,Ricky Pearsall,WR,5141
Lombardiﾒs Legacy,George Kittle,TE,5047
Lombardiﾒs Legacy,Jordan Love,QB,5019
Lombardiﾒs Legacy,J.J. McCarthy,QB,4542
Lombardiﾒs Legacy,Davante Adams,WR,4369
Lombardiﾒs Legacy,Zach Charbonnet,RB,4267
Lombardiﾒs Legacy,Tucker Kraft,TE,3952
Lombardiﾒs Legacy,Jakobi Meyers,WR,3918
Lombardiﾒs Legacy,Rhamondre Stevenson,RB,3231
Lombardiﾒs Legacy,Romeo Doubs,WR,3064
Omar Mahomies,Brock Bowers,TE,8828
Omar Mahomies,Marvin Harrison Jr.,WR,7216
Omar Mahomies,De'Von Achane,RB,6746
Omar Mahomies,James Cook,RB,5769
Omar Mahomies,Patrick Mahomes,QB,5581
Omar Mahomies,Zay Flowers,WR,5517
Omar Mahomies,DK Metcalf,WR,5466
Omar Mahomies,Brandon Aiyuk,WR,4773
Omar Mahomies,Michael Penix Jr.,QB,4393
Omar Mahomies,Isiah Pacheco,RB,4021
Omar Mahomies,Jauan Jennings,WR,3961
Omar Mahomies,Dak Prescott,QB,3810
Omar Mahomies,Javonte Williams,RB,3300
Omar Mahomies,Cedric Tillman,WR,3248
Omar Mahomies,Blake Corum,RB,2958
Omar Mahomies,Marquise Brown,WR,2903
Omar Mahomies,Dallas Goedert,TE,2852
Omar Mahomies,Christian Kirk,WR,2680
Omar Mahomies,Jordan Whittington,WR,2215
Omar Mahomies,Kayshon Boutte,WR,2195
Omar Mahomies,Jaleel McLaughlin,RB,2087
Omar Mahomies,Adam Thielen,WR,1793
Omar Mahomies,Gabriel Davis,WR,1238
Nevada Football Team,Jahmyr Gibbs,RB,9113
Nevada Football Team,Brian Thomas Jr.,WR,8226
Nevada Football Team,Garrett Wilson,WR,6634
Nevada Football Team,Sam LaPorta,TE,6190
Nevada Football Team,Rashee Rice,WR,6186
Nevada Football Team,Derrick Henry,RB,5552
Nevada Football Team,Bo Nix,QB,5336
Nevada Football Team,Baker Mayfield,QB,4579
Nevada Football Team,Jayden Reed,WR,4570
Nevada Football Team,Aaron Jones,RB,3725
Nevada Football Team,Ray Davis,RB,3086
Nevada Football Team,Keaton Mitchell,RB,2349
Nevada Football Team,Chigoziem Okonkwo,TE,2336
Nevada Football Team,Mike Gesicki,TE,2243
Nevada Football Team,Ja'Lynn Polk,WR,2203
Nevada Football Team,Austin Ekeler,RB,2101
Nevada Football Team,Keenan Allen,WR,1867
Nevada Football Team,DeAndre Hopkins,WR,1810
Nevada Football Team,Devaughn Vele,WR,1774
Nevada Football Team,Noah Fant,TE,1735
Nevada Football Team,Tyler Conklin,TE,1426
Nevada Football Team,Ray-Ray McCloud,WR,1321
Nevada Football Team,Alexander Mattison,RB,1316
Nevada Football Team,Aaron Rodgers,QB,1087
Nevada Football Team,Derek Carr,QB,709
Blitz & the Tantrums,CeeDee Lamb,WR,8590
Blitz & the Tantrums,Amon-Ra St. Brown,WR,8054
Blitz & the Tantrums,Justin Herbert,QB,5440
Blitz & the Tantrums,David Montgomery,RB,4642
Blitz & the Tantrums,Joe Mixon,RB,4587
Blitz & the Tantrums,Chris Godwin,WR,4529
Blitz & the Tantrums,Khalil Shakir,WR,4470
Blitz & the Tantrums,Keon Coleman,WR,4335
Blitz & the Tantrums,Bryce Young,QB,4047
Blitz & the Tantrums,Tank Bigsby,RB,3503
Blitz & the Tantrums,Braelon Allen,RB,3438
Blitz & the Tantrums,Travis Kelce,TE,3380
Blitz & the Tantrums,Pat Freiermuth,TE,3281
Blitz & the Tantrums,Rachaad White,RB,3179
Blitz & the Tantrums,Rashod Bateman,WR,3149
Blitz & the Tantrums,Tank Dell,WR,3056
Blitz & the Tantrums,Matthew Stafford,QB,2787
Blitz & the Tantrums,Troy Franklin,WR,2556
Blitz & the Tantrums,Andrei Iosivas,WR,2160
Blitz & the Tantrums,Elijah Moore,WR,2157
Blitz & the Tantrums,Luke McCaffrey,WR,2128
Blitz & the Tantrums,Deshaun Watson,QB,397
Tittsburgh Feelers,Josh Allen,QB,7858
Tittsburgh Feelers,Bucky Irving,RB,6622
Tittsburgh Feelers,DeVonta Smith,WR,6112
Tittsburgh Feelers,Josh Jacobs,RB,5735
Tittsburgh Feelers,Jameson Williams,WR,5463
Tittsburgh Feelers,George Pickens,WR,5261
Tittsburgh Feelers,Mike Evans,WR,4766
Tittsburgh Feelers,Dalton Kincaid,TE,3981
Tittsburgh Feelers,Tony Pollard,RB,3815
Tittsburgh Feelers,Jaylen Warren,RB,3631
Tittsburgh Feelers,Jalen McMillan,WR,3582
Tittsburgh Feelers,Adonai Mitchell,WR,3152
Tittsburgh Feelers,Demario Douglas,WR,2710
Tittsburgh Feelers,Roman Wilson,WR,2648
Tittsburgh Feelers,Dalton Schultz,TE,2344
Tittsburgh Feelers,Amari Cooper,WR,2214
Tittsburgh Feelers,Hunter Henry,TE,2040
Tittsburgh Feelers,Jermaine Burton,WR,1909
Tittsburgh Feelers,Russell Wilson,QB,1803
Tittsburgh Feelers,Dawson Knox,TE,1726
Tittsburgh Feelers,Diontae Johnson,WR,1625
Tittsburgh Feelers,Mike Williams,WR,1325
Tittsburgh Feelers,Will Levis,QB,1221
Tittsburgh Feelers,Gus Edwards,RB,428
Tittsburgh Feelers,Stetson Bennett,QB,203
The Dyrty Byrds,Saquon Barkley,RB,7236
The Dyrty Byrds,Jalen Hurts,QB,6471
The Dyrty Byrds,Terry McLaurin,WR,5305
The Dyrty Byrds,Chuba Hubbard,RB,5047
The Dyrty Byrds,Alvin Kamara,RB,4576
The Dyrty Byrds,D'Andre Swift,RB,4003
The Dyrty Byrds,David Njoku,TE,3785
The Dyrty Byrds,Travis Etienne,RB,3699
The Dyrty Byrds,Deebo Samuel,WR,3694
The Dyrty Byrds,Evan Engram,TE,3546
The Dyrty Byrds,Cooper Kupp,WR,3520
The Dyrty Byrds,Stefon Diggs,WR,3487
The Dyrty Byrds,Darnell Mooney,WR,3456
The Dyrty Byrds,Sam Darnold,QB,3216
The Dyrty Byrds,Wan'Dale Robinson,WR,2880
The Dyrty Byrds,Alec Pierce,WR,2569
The Dyrty Byrds,Joshua Palmer,WR,2433
The Dyrty Byrds,Tre Tucker,WR,2009
The Dyrty Byrds,Malik Washington,WR,1995
The Dyrty Byrds,Darius Slayton,WR,1812
The Dyrty Byrds,Jameis Winston,QB,1414
The Dyrty Byrds,Cam Akers,RB,1209
The Dyrty Byrds,Demarcus Robinson,WR,979
Bakari2,Jayden Daniels,QB,7650
Bakari2,A.J. Brown,WR,6554
Bakari2,Chase Brown,RB,5799
Bakari2,Kyler Murray,QB,4688
Bakari2,Tyreek Hill,WR,4605
Bakari2,Mark Andrews,TE,3838
Bakari2,Xavier Legette,WR,3554
Bakari2,Najee Harris,RB,3460
Bakari2,Jaylen Wright,RB,3236
Bakari2,Cade Otton,TE,3205
Bakari2,Ja'Tavion Sanders,TE,2835
Bakari2,MarShawn Lloyd,RB,2793
Bakari2,Christian Watson,WR,2748
Bakari2,Michael Wilson,WR,2434
Bakari2,Michael Mayer,TE,2261
Bakari2,Nick Chubb,RB,1886
Bakari2,Kirk Cousins,QB,1429
Bakari2,Skyy Moore,WR,706
Bakari2,Trey Lance,QB,549
Bakari2,Hayden Hurst,TE,542
Bakari2,Odell Beckham,WR,188
boxerschwartz,Tee Higgins,WR,6291
boxerschwartz,Christian McCaffrey,RB,5657
boxerschwartz,Xavier Worthy,WR,5618
boxerschwartz,T.J. Hockenson,TE,4985
boxerschwartz,Jerry Jeudy,WR,4711
boxerschwartz,Brock Purdy,QB,4555
boxerschwartz,Josh Downs,WR,4442
boxerschwartz,James Conner,RB,3943
boxerschwartz,Jared Goff,QB,3828
boxerschwartz,Calvin Ridley,WR,3623
boxerschwartz,Anthony Richardson,QB,3533
boxerschwartz,Jonnu Smith,TE,3305
boxerschwartz,Theo Johnson,TE,2443
boxerschwartz,Jerome Ford,RB,2127
boxerschwartz,Tyler Lockett,WR,1564
