Team,Sleeper_Player_ID,Roster_ID,Notes
MLeitheiser,11565,1,Rostered
MLeitheiser,11638,1,Rostered
MLeitheiser,2133,1,Rostered
MLeitheiser,4217,1,Rostered
MLeitheiser,4881,1,Rostered
MLeitheiser,5947,1,Rostered
MLeitheiser,6804,1,Rostered
MLeitheiser,6813,1,Rostered
MLeitheiser,7611,1,Rostered
MLeitheiser,8121,1,Rostered
MLeitheiser,8130,1,Rostered
MLeitheiser,8150,1,Rostered
MLeitheiser,8151,1,Rostered
MLeitheiser,9484,1,Rostered
MLeitheiser,9488,1,Rostered
MLeitheiser,9753,1,Rostered
MLeitheiser,9756,1,Rostered
MLeitheiser,9758,1,Rostered
samreilly,11564,2,Rostered
samreilly,11583,2,Rostered
samreilly,11632,2,Rostered
samreilly,11646,2,Rostered
samreilly,11655,2,Rostered
samreilly,4983,2,Rostered
samreilly,6770,2,Rostered
samreilly,6794,2,Rostered
samreilly,7021,2,Rostered
samreilly,7564,2,Rostered
samreilly,8110,2,Rostered
samreilly,8112,2,Rostered
samreilly,8131,2,Rostered
samreilly,8154,2,Rostered
samreilly,8155,2,Rostered
samreilly,8676,2,Rostered
samreilly,9494,2,Rostered
samreilly,9508,2,Rostered
Bakari2,10232,3,Rostered
Bakari2,11566,3,Rostered
Bakari2,11581,3,Rostered
Bakari2,11600,3,Rostered
Bakari2,11626,3,Rostered
Bakari2,11643,3,Rostered
Bakari2,1166,3,Rostered
Bakari2,2078,3,Rostered
Bakari2,3321,3,Rostered
Bakari2,4973,3,Rostered
Bakari2,4988,3,Rostered
Bakari2,5012,3,Rostered
Bakari2,5849,3,Rostered
Bakari2,5859,3,Rostered
Bakari2,7528,3,Rostered
Bakari2,7610,3,Rostered
Bakari2,8111,3,Rostered
Bakari2,8167,3,Rostered
Bakari2,8168,3,Rostered
Bakari2,9224,3,Rostered
Bakari2,9482,3,Rostered
nilmaven,10226,4,Rostered
nilmaven,11576,4,Rostered
nilmaven,11627,4,Rostered
nilmaven,11637,4,Rostered
nilmaven,11650,4,Rostered
nilmaven,1466,4,Rostered
nilmaven,4017,4,Rostered
nilmaven,4018,4,Rostered
nilmaven,4037,4,Rostered
nilmaven,421,4,Rostered
nilmaven,5892,4,Rostered
nilmaven,6786,4,Rostered
nilmaven,6797,4,Rostered
nilmaven,7547,4,Rostered
nilmaven,7571,4,Rostered
nilmaven,7596,4,Rostered
nilmaven,7600,4,Rostered
nilmaven,8134,4,Rostered
nilmaven,8136,4,Rostered
nilmaven,9225,4,Rostered
nilmaven,9228,4,Rostered
nilmaven,9502,4,Rostered
ShrynoRyno,10444,5,Rostered
ShrynoRyno,11439,5,Rostered
ShrynoRyno,11559,5,Rostered
ShrynoRyno,11586,5,Rostered
ShrynoRyno,11604,5,Rostered
ShrynoRyno,11623,5,Rostered
ShrynoRyno,11628,5,Rostered
ShrynoRyno,1689,5,Rostered
ShrynoRyno,3294,5,Rostered
ShrynoRyno,4046,5,Rostered
ShrynoRyno,4950,5,Rostered
ShrynoRyno,5022,5,Rostered
ShrynoRyno,5846,5,Rostered
ShrynoRyno,5848,5,Rostered
ShrynoRyno,6803,5,Rostered
ShrynoRyno,6943,5,Rostered
ShrynoRyno,7049,5,Rostered
ShrynoRyno,7588,5,Rostered
ShrynoRyno,8138,5,Rostered
ShrynoRyno,8205,5,Rostered
ShrynoRyno,9226,5,Rostered
ShrynoRyno,9504,5,Rostered
ShrynoRyno,9997,5,Rostered
jrroblestn,10235,6,Rostered
jrroblestn,11560,6,Rostered
jrroblestn,11579,6,Rostered
jrroblestn,11589,6,Rostered
jrroblestn,11620,6,Rostered
jrroblestn,11635,6,Rostered
jrroblestn,11651,6,Rostered
jrroblestn,1339,6,Rostered
jrroblestn,5045,6,Rostered
jrroblestn,6768,6,Rostered
jrroblestn,6806,6,Rostered
jrroblestn,6819,6,Rostered
jrroblestn,6826,6,Rostered
jrroblestn,7523,6,Rostered
jrroblestn,7526,6,Rostered
jrroblestn,7553,6,Rostered
jrroblestn,7569,6,Rostered
jrroblestn,7591,6,Rostered
jrroblestn,7828,6,Rostered
jrroblestn,8132,6,Rostered
jrroblestn,8144,6,Rostered
jrroblestn,9493,6,Rostered
jrroblestn,9509,6,Rostered
jrroblestn,9754,6,Rostered
jrroblestn,9757,6,Rostered
boxerschwartz,11597,7,Rostered
boxerschwartz,11624,7,Rostered
boxerschwartz,2374,7,Rostered
boxerschwartz,3163,7,Rostered
boxerschwartz,4034,7,Rostered
boxerschwartz,4137,7,Rostered
boxerschwartz,4144,7,Rostered
boxerschwartz,4981,7,Rostered
boxerschwartz,5844,7,Rostered
boxerschwartz,6783,7,Rostered
boxerschwartz,6801,7,Rostered
boxerschwartz,8143,7,Rostered
boxerschwartz,8183,7,Rostered
boxerschwartz,9229,7,Rostered
boxerschwartz,9500,7,Rostered
sportzballz,10213,8,Rostered
sportzballz,11610,8,Rostered
sportzballz,2306,8,Rostered
sportzballz,2449,8,Rostered
sportzballz,3286,8,Rostered
sportzballz,4033,8,Rostered
sportzballz,4035,8,Rostered
sportzballz,4039,8,Rostered
sportzballz,4066,8,Rostered
sportzballz,4866,8,Rostered
sportzballz,4943,8,Rostered
sportzballz,5872,8,Rostered
sportzballz,5927,8,Rostered
sportzballz,6149,8,Rostered
sportzballz,6790,8,Rostered
sportzballz,6904,8,Rostered
sportzballz,6938,8,Rostered
sportzballz,7090,8,Rostered
sportzballz,7543,8,Rostered
sportzballz,7594,8,Rostered
sportzballz,7670,8,Rostered
sportzballz,8126,8,Rostered
sportzballz,8142,8,Rostered
NevadaLou,10222,9,Rostered
NevadaLou,10229,9,Rostered
NevadaLou,10859,9,Rostered
NevadaLou,11563,9,Rostered
NevadaLou,11575,9,Rostered
NevadaLou,11619,9,Rostered
NevadaLou,11631,9,Rostered
NevadaLou,11834,9,Rostered
NevadaLou,1426,9,Rostered
NevadaLou,1479,9,Rostered
NevadaLou,2028,9,Rostered
NevadaLou,3198,9,Rostered
NevadaLou,4199,9,Rostered
NevadaLou,4663,9,Rostered
NevadaLou,4892,9,Rostered
NevadaLou,4993,9,Rostered
NevadaLou,5096,9,Rostered
NevadaLou,5133,9,Rostered
NevadaLou,5857,9,Rostered
NevadaLou,5987,9,Rostered
NevadaLou,8146,9,Rostered
NevadaLou,8210,9,Rostered
NevadaLou,9221,9,Rostered
NevadaLou,9511,9,Rostered
NevadaLou,96,9,Rostered
Haxen2000,10236,10,Rostered
Haxen2000,10857,10,Rostered
Haxen2000,11584,10,Rostered
Haxen2000,11618,10,Rostered
Haxen2000,11625,10,Rostered
Haxen2000,11630,10,Rostered
Haxen2000,11640,10,Rostered
Haxen2000,1234,10,Rostered
Haxen2000,2216,10,Rostered
Haxen2000,2309,10,Rostered
Haxen2000,3214,10,Rostered
Haxen2000,4068,10,Rostered
Haxen2000,4984,10,Rostered
Haxen2000,5001,10,Rostered
Haxen2000,5248,10,Rostered
Haxen2000,5850,10,Rostered
Haxen2000,5906,10,Rostered
Haxen2000,5937,10,Rostered
Haxen2000,5967,10,Rostered
Haxen2000,7525,10,Rostered
Haxen2000,8137,10,Rostered
Haxen2000,8148,10,Rostered
Haxen2000,8228,10,Rostered
Haxen2000,9501,10,Rostered
Haxen2000,9999,10,Rostered
